,Token,JP-EN Mean Freq,EN-EN Mean Freq,P (freq)
0,detailed,0.17075658020143952,0.03812931100216772,0.005128252222404826
1,obtain,0.5995967076161366,0.19515173668472138,0.00879014213300788
2,common,0.5862165826276247,0.07285505168503999,0.01167233186986267
3,list,0.1625095724364766,0.01779042874933286,0.012018593439580854
4,thickness,0.18436869787937513,0.0354096163761022,0.013300706370371843
5,parametric,0.3615788125566102,0.03644509538390421,0.014723047814843467
6,respectively,0.8323296711553413,0.1329687311040823,0.01979406914177606
7,adopt,0.1522026575435424,0.010430791697089808,0.02035021043379672
8,activate,1.1070284058844841,0.22607745734470094,0.0214621918323984
9,study,6.115922239588537,4.143915454383633,0.024995528890022278
10,enhance,0.3887166164062281,0.08825960026581796,0.02685998313092699
11,sphere,0.17921472178283143,0.052908531108650035,0.03169898533109816
12,medial,0.699221102427109,0.27791220159584223,0.03455711085911994
13,brain,4.506380552611474,2.6166355862927815,0.04508477786052192
14,planar,0.15143987377979817,0.09054704755380652,0.04681968368317412
15,table,1.3747893324180347,0.7180901174472408,0.04876157352968134
16,evaluate,0.3501363417955033,0.06808429414736365,0.04936257043037648
17,brodmann,0.32236977311099996,0.04640371229698376,0.049850216127840734
18,knowledge,0.31540934997838954,0.13243931047578789,0.050353728892514056
19,contribute,0.32570982135336707,0.08876010212908592,0.05116155344726629
20,recently,0.15896049115064442,0.03293198609472375,0.05382080593980171
21,input,0.28356603399960656,0.04900205734359123,0.058342937654050867
22,uncorrected,0.5342008144322662,0.16246810936956846,0.07066226254675596
23,report,1.5648368502394558,0.7881356650805396,0.07390550417534589
24,confirm,0.44402121416162965,0.2389007455117161,0.0750332547168027
25,clarify,0.2992372593620064,0.010430791697089808,0.07678280839333507
26,indicate,1.7335492076502697,1.0446322169611129,0.08239808250857826
27,corresponding,0.1840475885004255,0.06496599400450251,0.08320961782736923
28,system,0.9310628144483306,0.4837889773798718,0.08361456805221866
29,think,0.36150768325888316,0.1280346032884722,0.08375907208446084
30,different,1.2926687446406713,0.752630789383211,0.0859974725057711
31,gyrus,2.4905596704520585,1.0706828172619656,0.08797131096877886
32,statistical,0.6926345039457684,0.40355147805880814,0.09161747405975458
33,property,0.48995712469515773,0.06003837981939529,0.09490679433241295
34,coefficient,0.3421098588570227,0.02849193396819285,0.09628010093405162
35,length,0.5410268858924943,0.08674296459727368,0.10237132099784994
36,bilateral,1.5967718896079632,0.7834618974374454,0.10248644251183299
37,supramarginal,0.15553404024174355,0.014078558355624386,0.10811646606470987
38,answer,0.7530232968109278,0.10170623695234952,0.10866042903956369
39,picture,1.550454564921867,0.1257377965976375,0.10939478587023813
