_id,統計区番号,世帯数,人口の総数,男の人口,女の人口
1,全市,1082277,1960829,915975,1044854
2,中央区,146725,240183,108794,131389
3,1001,1743,2550,1176,1374
4,1002,2929,3947,1808,2139
5,1003,10504,15764,7202,8562
6,1004,3437,5827,2662,3165
7,1005,11536,14009,6879,7130
8,1006,11532,15744,7256,8488
9,1007,6234,10307,4603,5704
10,1008,5015,9303,4341,4962
11,1009,2703,4456,2085,2371
12,1010,7198,12578,5687,6891
13,1011,7897,12199,5204,6995
14,1012,12750,17650,8026,9624
15,1013,9948,17828,8023,9805
16,1014,5498,10659,4741,5918
17,1015,5263,9790,4464,5326
18,1016,11531,19551,8656,10895
19,1017,11577,19896,8717,11179
20,1018,8966,16821,7523,9298
21,1019,3522,7114,3201,3913
22,1020,471,834,372,462
23,1021,376,771,361,410
24,1022,347,807,375,432
25,1023,691,1343,606,737
26,1024,183,358,153,205
27,1025,2076,4100,1885,2215
28,1026,2675,5780,2673,3107
29,1027,123,197,115,82
30,北区,153782,285527,135601,149926
31,2001,9141,12696,6270,6426
32,2002,11234,15003,7420,7583
33,2003,585,954,467,487
34,2004,10117,14132,6563,7569
35,2005,9405,17438,8421,9017
36,2006,9648,14447,6511,7936
37,2007,4483,5721,2598,3123
38,2008,6166,11777,5464,6313
39,2009,4819,9690,4592,5098
40,2010,4816,10535,5091,5444
41,2011,5801,10949,5151,5798
42,2012,5319,10298,4827,5471
43,2013,4607,8640,3975,4665
44,2014,5211,10479,4924,5555
45,2015,5387,10675,5096,5579
46,2016,4099,8473,4059,4414
47,2017,13628,30193,14220,15973
48,2017-1,6681,13723,6425,7298
49,2017-2,6947,16470,7795,8675
50,2018,8558,17703,8464,9239
51,2019,9864,19550,9292,10258
52,2019-1,4900,9744,4572,5172
53,2019-2,4964,9806,4720,5086
54,2020,99,170,89,81
55,2021,1181,2455,1185,1270
56,2022,795,1536,728,808
57,2023,3546,7532,3666,3866
58,2024,15219,34402,16486,17916
59,2024-1,6233,14284,6908,7376
60,2024-2,8986,20118,9578,10540
61,2025,54,79,42,37
62,東区,144962,262195,124444,137751
63,3001,9480,15161,6791,8370
64,3002,10092,15847,7231,8616
65,3003,5794,10611,5140,5471
66,3004,9645,15445,7476,7969
67,3005,10208,16216,7536,8680
68,3006,8418,13159,6084,7075
69,3007,6665,11507,5639,5868
70,3008,8331,13967,6614,7353
71,3009,8884,17023,8050,8973
72,3010,6221,11133,5422,5711
73,3011,5390,10093,4749,5344
74,3012,6862,12886,6114,6772
75,3013,5004,10153,4817,5336
76,3014,7779,14590,6851,7739
77,3015,24308,48666,23314,25352
78,3015-1,6795,12573,6015,6558
79,3015-2,2710,5655,2679,2976
80,3015-3,5489,12455,6125,6330
81,3015-4,5044,10325,4860,5465
82,3015-5,4270,7658,3635,4023
83,3016,3671,9586,4659,4927
84,3017,6043,11985,5813,6172
85,3018,2167,4167,2144,2023
86,白石区,125192,213999,101703,112296
87,4001,7613,11078,5145,5933
88,4002,6001,10051,4752,5299
89,4003,2413,4501,2223,2278
90,4004,17061,27305,12594,14711
91,4004-1,15023,23751,10915,12836
92,4004-2,2038,3554,1679,1875
93,4005,2408,4311,2137,2174
94,4006,9933,15109,7033,8076
95,4007,6678,10513,4884,5629
96,4008,6569,11804,5594,6210
97,4009,5459,8200,3804,4396
98,4010,6147,8956,4098,4858
99,4011,4631,8809,4245,4564
100,4012,13719,22407,10605,11802
101,4013,1523,2767,1361,1406
102,4014,6627,12513,6225,6288
103,4015,8582,16295,7800,8495
104,4016,6680,13316,6561,6755
105,4017,3226,6370,3060,3310
106,4018,3255,6939,3431,3508
107,4019,3162,6036,2979,3057
108,4020,3505,6719,3172,3547
109,厚別区,66190,126279,57809,68470
110,4501,6008,11337,5145,6192
111,4502,6521,13403,6350,7053
112,4503,11368,19483,8837,10646
113,4504,6408,11088,5164,5924
114,4505,3600,6157,2579,3578
115,4506,572,820,295,525
116,4507,8110,14031,6062,7969
117,4508,4906,9858,4540,5318
118,4509,12646,27661,12971,14690
119,4509-1,4931,11541,5459,6082
120,4509-2,7715,16120,7512,8608
121,4510,3895,7973,3759,4214
122,4511,2156,4468,2107,2361
123,豊平区,130689,224817,103977,120840
124,5001,9889,14566,6776,7790
125,5002,3596,5892,2591,3301
126,5003,8313,13151,6088,7063
127,5004,5738,8482,4108,4374
128,5005,9376,13786,5934,7852
129,5006,12402,18948,8726,10222
130,5007,9912,17329,8172,9157
131,5008,13538,22304,10281,12023
132,5008-1,7312,11823,5449,6374
133,5008-2,6226,10481,4832,5649
134,5009,9302,15785,7163,8622
135,5010,14089,24717,11498,13219
136,5010-1,9247,15730,7199,8531
137,5010-2,4842,8987,4299,4688
138,5011,15345,31525,14786,16739
139,5011-1,4926,9758,4517,5241
140,5011-2,3919,7998,3762,4236
141,5011-3,6500,13769,6507,7262
142,5012,8317,16600,7642,8958
143,5013,10640,21093,9892,11201
144,5013-1,5587,10671,4948,5723
145,5013-2,5053,10422,4944,5478
146,5014,55,110,58,52
147,5015,177,529,262,267
148,清田区,53417,112370,53410,58960
149,5501,10696,21891,10329,11562
150,5501-1,4339,9156,4339,4817
151,5501-2,4241,8732,4108,4624
152,5501-3,2116,4003,1882,2121
153,5502,11456,24739,11686,13053
154,5502-1,3836,8384,3978,4406
155,5502-2,5174,11342,5334,6008
156,5502-3,2446,5013,2374,2639
157,5503,13230,29388,14004,15384
158,5503-1,4725,11760,5670,6090
159,5503-2,4757,10053,4819,5234
160,5503-3,3748,7575,3515,4060
161,5504,10728,22119,10665,11454
162,5504-1,2338,3780,1812,1968
163,5504-2,8390,18339,8853,9486
164,5505,7234,14094,6663,7431
165,5506,73,139,63,76
166,南区,72625,135089,62596,72493
167,6001,2694,5182,2495,2687
168,6002,-,-,-,-
169,6003,3424,6309,2890,3419
170,6004,2078,4321,2051,2270
171,6005,4752,9565,4541,5024
172,6006,6986,13101,5990,7111
173,6007,-,-,-,-
174,6008,-,-,-,-
175,6009,40,63,32,31
176,6010,46,84,36,48
177,6011,14510,24685,11216,13469
178,6011-1,6379,10147,4642,5505
179,6011-2,8131,14538,6574,7964
180,6012,1391,1803,1029,774
181,6013,2155,3734,1742,1992
182,6014,3684,6499,2776,3723
183,6015,3121,6336,2860,3476
184,6016,2184,4216,1912,2304
185,6017,4158,8360,3992,4368
186,6018,37,67,31,36
187,6019,1909,3812,1781,2031
188,6020,7334,13762,6319,7443
189,6021,9113,17721,8278,9443
190,6021-1,3181,6269,2888,3381
191,6021-2,5932,11452,5390,6062
192,6022,1943,3897,1866,2031
193,6023,341,580,266,314
194,6024,614,817,410,407
195,6025,48,78,38,40
196,6026,63,97,45,52
197,西区,118186,218452,100770,117682
198,7001,8360,15123,7126,7997
199,7002,4669,9139,4236,4903
200,7003,4663,9087,4311,4776
201,7004,10789,16130,7238,8892
202,7005,11907,18747,8090,10657
203,7006,5801,11363,5205,6158
204,7007,4198,7806,3629,4177
205,7008,767,1217,624,593
206,7009,7506,14394,6742,7652
207,7010,10618,19044,8757,10287
208,7011,7342,13192,5932,7260
209,7012,18560,38096,17696,20400
210,7012-1,5607,10814,4924,5890
211,7012-2,2804,5697,2645,3052
212,7012-3,1964,4289,2030,2259
213,7012-4,8185,17296,8097,9199
214,7013,1560,2956,1455,1501
215,7014,6835,13039,5970,7069
216,7015,8126,15935,7544,8391
217,7016,3154,6476,3046,3430
218,7017,3331,6708,3169,3539
219,手稲区,70509,141918,66871,75047
220,7501,6210,13392,6496,6896
221,7502,5991,11230,5193,6037
222,7503,20846,41941,19941,22000
223,7503-1,1609,3538,1694,1844
224,7503-2,6066,12373,5691,6682
225,7503-3,2386,4357,1999,2358
226,7503-4,4568,8889,4381,4508
227,7503-5,3238,6731,3304,3427
228,7503-6,2979,6053,2872,3181
229,7504,7351,14552,6831,7721
230,7505,4972,8531,3755,4776
231,7506,7746,17233,8085,9148
232,7507,10933,21531,10147,11384
233,7507-1,4756,9311,4387,4924
234,7507-2,6177,12220,5760,6460
235,7508,4553,9602,4539,5063
236,7509,1907,3906,1884,2022
